Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
Empirical ,11,33.75,72.7273%,-1.4,0.922078,2.8062,34.14,51.5836,74.86,36.96,0.972999,0.8922,0.963559,0.877586,0.787164
1,12,-12.39,58.3333%,-3.986,0.687866,-0.903636,25.754,50.5293,69.9754,35.2762,1.05322,0.960934,1.08949,1.02,0.93146
2,9,-9.78,44.4444%,-3.42,0.606888,-1.08388,57.1393,42.2984,78.5048,21.2467,0.958897,0.800936,0.85645,0.768258,0.487523
3,14,13.71,42.8571%,-1.785,0.748699,0.90428,37.4246,96.949,135.951,68.26,1.02528,0.991883,0.875412,0.967049,0.920841
4,11,-0.590004,36.3636%,-2.74,0.595886,-0.0408949,46.4771,56.6601,89.4977,36.9956,0.99962,1.05587,1.00472,1.05471,0.975192
5,11,14.31,63.6364%,-1.455,0.886285,1.04137,34.9709,115.116,154.318,66.9489,1.04515,1.04285,0.926639,0.93253,0.953341
6,12,10.12,33.3333%,-2.3875,0.612565,0.466964,45.4932,45.4337,71.8112,25.7721,1.01466,0.972727,0.81407,0.873147,0.614762
7,10,3.79999,50%,-2.438,0.705086,0.332749,32.0234,57.9141,81.6668,38.8187,1.02257,1.05718,1.0934,1.19282,0.908992
8,11,32.19,54.5455%,-0.54,1.38721,2.06316,49.114,43.7666,68.26,19.146,0.982029,0.779741,0.56936,0.636427,0.459942
9,12,14.33,50%,-0.875001,1.07143,1.48313,64.3881,40.7608,94.1142,20.6131,1.07809,1.11389,1.09741,1.13363,0.992748
10,9,12.54,88.8889%,-0.57,1.08382,2.66196,41.1045,70.8193,96.119,54.7491,0.946992,0.858119,0.711965,0.835855,0.909606
11,12,4.71,58.3333%,-3.876,0.690832,0.267166,33.7438,52.668,81.2707,33.6533,1.00989,0.933908,0.867546,0.966728,1.39057
12,7,22.04,71.4286%,-0.660002,1.14718,1.94585,21.688,65.0006,110.504,36.8688,1.02552,1.03433,0.887614,0.893043,1.60014
13,11,6.89,54.5455%,-2.256,0.746937,0.590475,48.7003,36.0854,68.7089,16.4995,1.01081,1.15163,0.996781,1.10422,0.580039
14,11,29.88,72.7273%,-0.365,1.47447,1.58501,41.4051,43.6483,70.8118,25.2694,1.02088,0.914797,0.819621,0.830685,0.836552
