Date,Open,High,Low,Close,Volume,Adj Close,SMA(5),SMA(20),SMA(50),Diff 5-20,Diff 5-50,Signal,,Action ,Return
2/22/2011,72.31,73.07,69.65,69.79,4767700,68.26,,,,,,,,,
2/23/2011,70.19,70.75,68.13,70.14,5701300,68.6,,,,,,,,,
2/24/2011,69.93,71.05,68.61,69.84,3575600,68.31,,,,,,,,,
2/25/2011,70.64,71.06,70.04,71.06,2389200,69.5,,,,,,,,,
2/28/2011,71.79,72.34,70.84,71.66,2563700,70.09,68.952,,,,,,,,
3/1/2011,72.03,72.42,69.98,70.07,3655800,68.53,69.006,,,,,,,,
3/2/2011,70.24,71.4,69.88,70.91,2320900,69.35,69.156,,,,,,,,
3/3/2011,71.74,72.87,71.39,72.64,1975200,71.04,69.702,,,,,,,,
3/4/2011,72.82,73.22,72.03,72.58,2831100,70.99,70,,,,,,,,
3/7/2011,72.88,73.51,70.32,70.94,5049700,69.38,69.858,,,,,,,,
3/8/2011,71.19,71.54,69.42,71.12,4076500,69.56,70.064,,,,,,,,
3/9/2011,71,71.3,69.12,69.5,5870000,67.97,69.788,,,,,,,,
3/10/2011,68.22,68.42,66.87,66.98,10266600,65.51,68.682,,,,,,,,
3/11/2011,66.5,69.17,66.31,68.75,6520600,67.24,67.932,,,,,,,,
3/14/2011,68.66,69.68,67.95,69.01,4810600,67.49,67.554,,,,,,,,
3/15/2011,66.56,69.47,66.1,69.06,6282300,67.54,67.15,,,,,,,,
3/16/2011,69.44,70.45,67.12,68.13,6494100,66.63,66.882,,,,,,,,
3/17/2011,69.5,70.13,68.75,69.33,5503000,67.81,67.342,,,,,,,,
3/18/2011,70.52,70.55,68.94,68.95,6986000,67.49,67.392,,,,,,,,
3/21/2011,70.1,70.4,69.44,70.31,4775800,68.82,67.658,68.5055,,,,,,,
3/22/2011,70.35,71.11,69.93,71.04,3536700,69.54,68.058,68.5695,,,,,,,
3/23/2011,71.03,72.97,70.6,72.62,3539200,71.09,68.95,68.694,,,,,,,
